iter	Passed	Remaining
0	19	19598
1	24	12408
2	30	10245
3	44	11079
4	58	11610
5	72	11997
6	82	11763
7	96	11980
8	101	11139
9	113	11198
10	117	10571
11	131	10833
12	145	11081
13	161	11367
14	174	11490
15	186	11449
16	198	11477
17	206	11277
18	217	11246
19	229	11223
20	241	11238
21	252	11232
22	265	11267
23	279	11352
24	280	10938
25	292	10949
26	298	10745
27	309	10732
28	320	10722
29	334	10806
30	345	10793
31	357	10812
32	365	10714
33	373	10620
34	384	10593
35	397	10656
36	408	10643
37	422	10688
38	433	10669
39	441	10606
40	456	10683
41	467	10670
42	481	10714
43	495	10761
44	508	10799
45	510	10582
46	515	10453
47	517	10262
48	531	10310
49	542	10302
50	556	10349
51	568	10360
52	582	10404
53	600	10520
54	618	10631
55	625	10545
56	626	10371
57	632	10270
58	640	10219
59	654	10248
60	663	10217
61	682	10318
62	693	10320
63	701	10265
64	715	10290
65	723	10240
66	731	10193
67	745	10218
68	754	10175
69	777	10333
70	804	10522
71	817	10542
72	828	10527
73	839	10508
74	855	10549
75	856	10414
76	870	10429
77	881	10423
78	896	10447
79	901	10370
80	915	10385
81	929	10403
82	937	10360
83	946	10316
84	956	10295
85	958	10190
86	972	10208
87	979	10156
88	991	10143
89	997	10085
90	1011	10102
91	1012	9995
92	1018	9928
93	1024	9873
94	1038	9893
95	1049	9882
96	1063	9899
97	1074	9892
98	1085	9882
99	1100	9905
100	1103	9818
101	1113	9806
102	1125	9800
103	1131	9749
104	1143	9748
105	1157	9762
106	1170	9767
107	1184	9780
108	1198	9796
109	1210	9794
110	1222	9788
111	1236	9803
112	1250	9816
113	1264	9825
114	1275	9815
115	1286	9804
116	1297	9791
117	1305	9758
118	1309	9696
119	1324	9709
120	1329	9658
121	1338	9630
122	1349	9622
123	1360	9612
124	1376	9635
125	1390	9647
126	1407	9673
127	1418	9661
128	1430	9656
129	1438	9626
130	1452	9637
131	1464	9627
132	1478	9635
133	1490	9635
134	1501	9621
135	1518	9645
136	1526	9617
137	1535	9594
138	1550	9602
139	1565	9618
140	1576	9606
141	1587	9594
142	1596	9565
143	1604	9537
144	1615	9525
145	1632	9547
146	1637	9501
147	1651	9507
148	1662	9497
149	1676	9499
150	1684	9468
151	1692	9441
152	1700	9415
153	1711	9404
154	1719	9375
155	1730	9365
156	1739	9338
157	1751	9331
158	1762	9321
159	1776	9325
160	1777	9262
161	1781	9217
162	1804	9263
163	1827	9313
164	1839	9309
165	1851	9300
166	1866	9308
167	1880	9310
168	1889	9291
169	1895	9252
170	1908	9250
171	1919	9239
172	1927	9216
173	1939	9204
174	1953	9207
175	1968	9213
176	1970	9161
177	1977	9131
178	1992	9141
179	2007	9143
180	2021	9146
181	2035	9148
182	2049	9149
183	2060	9136
184	2071	9124
185	2085	9127
186	2088	9078
187	2102	9078
188	2113	9067
189	2124	9056
190	2135	9045
191	2146	9032
192	2157	9020
193	2162	8986
194	2174	8976
195	2186	8968
196	2197	8957
197	2208	8946
198	2225	8956
199	2235	8940
200	2246	8930
201	2263	8940
202	2279	8950
203	2293	8950
204	2295	8900
205	2309	8900
206	2317	8877
207	2330	8874
208	2341	8861
209	2355	8859
210	2368	8858
211	2386	8870
212	2395	8850
213	2409	8849
214	2423	8849
215	2431	8826
216	2447	8832
217	2456	8810
218	2470	8809
219	2481	8797
220	2494	8794
221	2507	8786
222	2521	8785
223	2526	8753
224	2535	8732
225	2546	8720
226	2560	8718
227	2571	8707
228	2582	8695
229	2593	8683
230	2596	8643
231	2607	8632
232	2625	8642
233	2631	8613
234	2642	8601
235	2648	8572
236	2661	8569
237	2675	8567
238	2677	8524
239	2693	8530
240	2699	8501
241	2710	8490
242	2723	8483
243	2734	8472
244	2748	8470
245	2759	8458
246	2768	8438
247	2776	8418
248	2787	8407
249	2798	8395
250	2812	8393
251	2817	8363
252	2831	8361
253	2850	8372
254	2876	8403
255	2889	8398
256	2901	8386
257	2915	8384
258	2926	8372
259	2935	8355
260	2944	8336
261	2955	8324
262	2966	8313
263	2983	8316
264	2997	8313
265	3008	8301
266	3022	8298
